type,size,epochs,error_rate
interacting,100,18,0
non_interacting,100,8,0
interacting,100,9,0
non_interacting,100,18,0
interacting,100,9,0
non_interacting,100,15,0
interacting,100,8,0
non_interacting,100,12,0
interacting,100,13,0
non_interacting,100,17,0
interacting,100,4,0
non_interacting,100,18,0
interacting,100,12,0
non_interacting,100,14,0
interacting,100,8,0
non_interacting,100,14,0
interacting,100,11,0
non_interacting,100,9,0
interacting,100,5,0
non_interacting,100,5,0
interacting,350,14,0
non_interacting,350,73,0
interacting,350,18,0
non_interacting,350,27,0
interacting,350,11,0
non_interacting,350,38,0
interacting,350,10,0
non_interacting,350,22,0
interacting,350,11,0
non_interacting,350,29,0
interacting,350,12,0
non_interacting,350,41,0
interacting,350,10,0
non_interacting,350,44,0
interacting,350,19,0
non_interacting,350,39,0
interacting,350,22,0
non_interacting,350,100,0
interacting,350,17,0
non_interacting,350,21,0
interacting,600,24,0
non_interacting,600,69,0
interacting,600,19,0
non_interacting,600,104,0
interacting,600,20,0
non_interacting,600,68,0
interacting,600,35,0
non_interacting,600,61,0
interacting,600,20,0
non_interacting,600,109,0
interacting,600,14,0
non_interacting,600,53,0
interacting,600,20,0
non_interacting,600,72,0
interacting,600,34,0
non_interacting,600,133,0
interacting,600,21,0
non_interacting,600,66,0
interacting,600,24,0
non_interacting,600,46,0
interacting,850,21,0
non_interacting,850,54,0
interacting,850,19,0
non_interacting,850,118,0
interacting,850,31,0
non_interacting,850,105,0
interacting,850,29,0
non_interacting,850,133,0
interacting,850,27,0
non_interacting,850,84,0
interacting,850,29,0
non_interacting,850,193,0
interacting,850,28,0
non_interacting,850,157,0
interacting,850,24,0
non_interacting,850,74,0
interacting,850,20,0
non_interacting,850,125,0
interacting,850,25,0
non_interacting,850,41,0
interacting,1100,27,0
non_interacting,1100,258,0
interacting,1100,34,0
non_interacting,1100,168,0
interacting,1100,52,0
non_interacting,1100,237,0
interacting,1100,22,0
non_interacting,1100,130,0
interacting,1100,52,0
non_interacting,1100,165,0
interacting,1100,17,0
non_interacting,1100,141,0
interacting,1100,42,0
non_interacting,1100,157,0
interacting,1100,33,0
non_interacting,1100,120,0
interacting,1100,16,0
non_interacting,1100,209,0
interacting,1100,55,0
non_interacting,1100,233,0
interacting,1350,56,0
non_interacting,1350,202,0
interacting,1350,34,0
non_interacting,1350,186,0
interacting,1350,48,0
non_interacting,1350,216,0
interacting,1350,57,0
non_interacting,1350,315,0
interacting,1350,73,0
non_interacting,1350,248,0
interacting,1350,44,0
non_interacting,1350,634,0
interacting,1350,40,0
non_interacting,1350,203,0
interacting,1350,30,0
non_interacting,1350,211,0
interacting,1350,55,0
non_interacting,1350,383,0
interacting,1350,69,0
non_interacting,1350,234,0
interacting,1600,91,0
non_interacting,1600,255,0
interacting,1600,100,0
non_interacting,1600,592,0
interacting,1600,124,0
non_interacting,1600,297,0
interacting,1600,117,0
non_interacting,1600,201,0
interacting,1600,90,0
non_interacting,1600,474,0
interacting,1600,46,0
non_interacting,1600,213,0
interacting,1600,90,0
non_interacting,1600,352,0
interacting,1600,48,0
non_interacting,1600,490,0
interacting,1600,63,0
non_interacting,1600,243,0
interacting,1600,79,0
non_interacting,1600,194,0
